seqid,phobius_start,phobius_end,phobius_type
TRIREDRAFT_76013-t26_1,18,27,SP
TRIREDRAFT_76065-t26_1,4,15,SP
TRIREDRAFT_76075-t26_1,14,35,TM
TRIREDRAFT_76083-t26_1,4,15,SP
TRIREDRAFT_76098-t26_1,2,13,SP
TRIREDRAFT_76117-t26_1,5,14,SP
TRIREDRAFT_76125-t26_1,3,11,SP
TRIREDRAFT_76151-t26_1,12,30,TM
TRIREDRAFT_76155-t26_1,5,12,SP
TRIREDRAFT_76166-t26_1,5,15,SP
TRIREDRAFT_76172-t26_1,20,43,TM
TRIREDRAFT_76188-t26_1,16,27,SP
TRIREDRAFT_76210-t26_1,5,14,SP
TRIREDRAFT_76227-t26_1,8,19,SP
TRIREDRAFT_76230-t26_1,35,53,TM
TRIREDRAFT_76235-t26_1,40,58,TM
TRIREDRAFT_76266-t26_1,5,13,SP
TRIREDRAFT_76311-t26_1,12,32,TM
TRIREDRAFT_76360-t26_1,33,57,TM
TRIREDRAFT_76557-t26_1,18,28,SP
TRIREDRAFT_76620-t26_1,12,23,SP
TRIREDRAFT_76659-t26_1,3,13,SP
TRIREDRAFT_76672-t26_1,6,14,SP
TRIREDRAFT_76713-t26_1,29,49,TM
TRIREDRAFT_76744-t26_1,11,21,SP
TRIREDRAFT_76752-t26_1,5,13,SP
TRIREDRAFT_76758-t26_1,40,57,TM
TRIREDRAFT_76763-t26_1,29,49,TM
TRIREDRAFT_76766-t26_1,35,55,TM
TRIREDRAFT_76800-t26_1,12,31,TM
TRIREDRAFT_76820-t26_1,3,11,SP
TRIREDRAFT_76852-t26_1,3,14,SP
TRIREDRAFT_76859-t26_1,3,14,SP
TRIREDRAFT_76862-t26_1,18,29,SP
TRIREDRAFT_76887-t26_1,6,17,SP
TRIREDRAFT_76906-t26_1,10,18,SP
TRIREDRAFT_76919-t26_1,8,19,SP
TRIREDRAFT_76949-t26_1,26,48,TM
TRIREDRAFT_76954-t26_1,6,26,TM
TRIREDRAFT_76971-t26_1,2,11,SP
TRIREDRAFT_76986-t26_1,6,24,TM
TRIREDRAFT_77056-t26_1,6,25,TM
TRIREDRAFT_77093-t26_1,3,14,SP
TRIREDRAFT_77138-t26_1,6,25,TM
TRIREDRAFT_77227-t26_1,6,33,TM
TRIREDRAFT_77254-t26_1,30,49,TM
TRIREDRAFT_77266-t26_1,7,17,SP
TRIREDRAFT_77283-t26_1,26,50,TM
TRIREDRAFT_77284-t26_1,6,26,TM
TRIREDRAFT_77288-t26_1,3,14,SP
TRIREDRAFT_77299-t26_1,2,13,SP
TRIREDRAFT_77517-t26_1,31,49,TM
TRIREDRAFT_77539-t26_1,5,15,SP
TRIREDRAFT_77547-t26_1,5,16,SP
TRIREDRAFT_77557-t26_1,20,39,TM
TRIREDRAFT_77577-t26_1,4,15,SP
TRIREDRAFT_77579-t26_1,4,12,SP
TRIREDRAFT_77634-t26_1,43,59,TM
TRIREDRAFT_77699-t26_1,2,9,SP
TRIREDRAFT_77785-t26_1,12,36,TM
TRIREDRAFT_77942-t26_1,5,12,SP
TRIREDRAFT_77955-t26_1,37,59,TM
TRIREDRAFT_78004-t26_1,41,58,TM
TRIREDRAFT_78072-t26_1,6,16,SP
TRIREDRAFT_78223-t26_1,20,41,TM
TRIREDRAFT_78301-t26_1,20,41,TM
TRIREDRAFT_78373-t26_1,4,15,SP
TRIREDRAFT_78387-t26_1,6,25,TM
TRIREDRAFT_78423-t26_1,3,11,SP
TRIREDRAFT_78476-t26_1,8,23,SP
TRIREDRAFT_78482-t26_1,26,34,SP
TRIREDRAFT_78499-t26_1,28,45,TM
TRIREDRAFT_78555-t26_1,24,47,TM
TRIREDRAFT_78561-t26_1,7,17,SP
TRIREDRAFT_78639-t26_1,5,12,SP
TRIREDRAFT_78681-t26_1,37,56,TM
TRIREDRAFT_78706-t26_1,4,14,SP
TRIREDRAFT_78713-t26_1,3,11,SP
TRIREDRAFT_78738-t26_1,14,35,TM
TRIREDRAFT_78753-t26_1,3,14,SP
TRIREDRAFT_78768-t26_1,3,14,SP
TRIREDRAFT_78792-t26_1,12,23,SP
TRIREDRAFT_78828-t26_1,6,14,SP
TRIREDRAFT_78833-t26_1,31,51,TM
TRIREDRAFT_78843-t26_1,8,18,SP
TRIREDRAFT_79010-t26_1,11,21,SP
TRIREDRAFT_79014-t26_1,12,34,TM
TRIREDRAFT_79044-t26_1,12,31,TM
TRIREDRAFT_79085-t26_1,9,19,SP
TRIREDRAFT_79089-t26_1,14,35,TM
TRIREDRAFT_79109-t26_1,9,17,SP
TRIREDRAFT_79174-t26_1,4,11,SP
TRIREDRAFT_79202-t26_1,33,56,TM
TRIREDRAFT_79244-t26_1,6,14,SP
TRIREDRAFT_79295-t26_1,6,28,TM
TRIREDRAFT_79329-t26_1,10,20,SP
TRIREDRAFT_79334-t26_1,32,50,TM
TRIREDRAFT_79396-t26_1,15,35,TM
TRIREDRAFT_79405-t26_1,8,19,SP
TRIREDRAFT_79448-t26_1,6,14,SP
TRIREDRAFT_79464-t26_1,16,34,TM
TRIREDRAFT_79498-t26_1,20,39,TM
TRIREDRAFT_79510-t26_1,20,43,TM
TRIREDRAFT_79677-t26_1,7,17,SP
TRIREDRAFT_79694-t26_1,7,18,SP
TRIREDRAFT_79779-t26_1,3,14,SP
TRIREDRAFT_79797-t26_1,4,12,SP
TRIREDRAFT_79813-t26_1,10,20,SP
TRIREDRAFT_79832-t26_1,31,49,TM
TRIREDRAFT_79835-t26_1,24,45,TM
TRIREDRAFT_79921-t26_1,8,18,SP
TRIREDRAFT_79960-t26_1,13,24,SP
TRIREDRAFT_79972-t26_1,39,58,TM
TRIREDRAFT_80005-t26_1,36,56,TM
TRIREDRAFT_80028-t26_1,23,43,TM
TRIREDRAFT_80086-t26_1,33,56,TM
TRIREDRAFT_80125-t26_1,12,31,TM
TRIREDRAFT_80191-t26_1,14,42,TM
TRIREDRAFT_80237-t26_1,12,32,TM
TRIREDRAFT_80240-t26_1,5,15,SP
TRIREDRAFT_80310-t26_1,33,53,TM
TRIREDRAFT_80359-t26_1,8,19,SP
TRIREDRAFT_80441-t26_1,36,56,TM
TRIREDRAFT_80584-t26_1,3,13,SP
TRIREDRAFT_80605-t26_1,5,13,SP
TRIREDRAFT_80607-t26_1,7,17,SP
TRIREDRAFT_80627-t26_1,42,59,TM
TRIREDRAFT_80639-t26_1,6,32,TM
TRIREDRAFT_80695-t26_1,31,51,TM
TRIREDRAFT_80714-t26_1,21,41,TM
TRIREDRAFT_80767-t26_1,42,59,TM
TRIREDRAFT_80825-t26_1,36,59,TM
TRIREDRAFT_80833-t26_1,8,15,SP
TRIREDRAFT_80854-t26_1,4,15,SP
TRIREDRAFT_80870-t26_1,38,56,TM
TRIREDRAFT_80881-t26_1,9,17,SP
TRIREDRAFT_80904-t26_1,26,44,TM
TRIREDRAFT_80911-t26_1,13,24,SP
TRIREDRAFT_81004-t26_1,3,14,SP
TRIREDRAFT_81049-t26_1,12,33,TM
TRIREDRAFT_81070-t26_1,7,15,SP
TRIREDRAFT_81087-t26_1,3,14,SP
TRIREDRAFT_81096-t26_1,15,33,TM
TRIREDRAFT_81102-t26_1,12,31,TM
TRIREDRAFT_81105-t26_1,37,59,TM
TRIREDRAFT_81136-t26_1,32,55,TM
TRIREDRAFT_81140-t26_1,4,15,SP
TRIREDRAFT_81211-t26_1,32,49,TM
TRIREDRAFT_81263-t26_1,6,26,TM
TRIREDRAFT_81296-t26_1,5,15,SP
TRIREDRAFT_81303-t26_1,5,15,SP
TRIREDRAFT_81331-t26_1,4,12,SP
TRIREDRAFT_81362-t26_1,18,25,SP
TRIREDRAFT_81383-t26_1,20,44,TM
TRIREDRAFT_81423-t26_1,6,22,TM
TRIREDRAFT_81517-t26_1,4,14,SP
TRIREDRAFT_81541-t26_1,2,13,SP
TRIREDRAFT_81553-t26_1,4,16,SP
TRIREDRAFT_81570-t26_1,6,16,SP
TRIREDRAFT_81623-t26_1,9,17,SP
TRIREDRAFT_81652-t26_1,20,40,TM
TRIREDRAFT_81661-t26_1,21,41,TM
TRIREDRAFT_81668-t26_1,2,9,SP
TRIREDRAFT_81670-t26_1,12,29,TM
TRIREDRAFT_81676-t26_1,12,31,TM
TRIREDRAFT_81679-t26_1,8,18,SP
TRIREDRAFT_81756-t26_1,32,52,TM
TRIREDRAFT_81763-t26_1,34,54,TM
TRIREDRAFT_81778-t26_1,6,15,SP
TRIREDRAFT_81779-t26_1,20,41,TM
TRIREDRAFT_81843-t26_1,5,16,SP
TRIREDRAFT_81884-t26_1,6,17,SP
TRIREDRAFT_81920-t26_1,3,13,SP
TRIREDRAFT_81939-t26_1,39,59,TM
TRIREDRAFT_81984-t26_1,4,14,SP
TRIREDRAFT_81990-t26_1,12,22,SP
TRIREDRAFT_82041-t26_1,20,38,TM
TRIREDRAFT_82095-t26_1,37,58,TM
TRIREDRAFT_82133-t26_1,15,32,TM
TRIREDRAFT_82145-t26_1,15,28,SP
TRIREDRAFT_82146-t26_1,10,25,SP
TRIREDRAFT_82150-t26_1,33,52,TM
TRIREDRAFT_82214-t26_1,21,40,TM
TRIREDRAFT_82235-t26_1,7,18,SP
TRIREDRAFT_82260-t26_1,10,21,SP
TRIREDRAFT_82286-t26_1,12,31,TM
TRIREDRAFT_82309-t26_1,21,39,TM
TRIREDRAFT_82317-t26_1,5,13,SP
TRIREDRAFT_82321-t26_1,15,34,TM
TRIREDRAFT_82442-t26_1,4,9,SP
TRIREDRAFT_82499-t26_1,7,18,SP
TRIREDRAFT_82523-t26_1,20,38,TM
TRIREDRAFT_82551-t26_1,42,59,TM
TRIREDRAFT_82568-t26_1,12,32,TM
TRIREDRAFT_82606-t26_1,13,24,SP
TRIREDRAFT_82616-t26_1,3,14,SP
TRIREDRAFT_82623-t26_1,4,15,SP
TRIREDRAFT_82633-t26_1,6,14,SP
TRIREDRAFT_82662-t26_1,6,13,SP
TRIREDRAFT_82668-t26_1,2,9,SP
TRIREDRAFT_102377-t26_1,0,0,OTHER
TRIREDRAFT_102378-t26_1,0,0,OTHER
TRIREDRAFT_102379-t26_1,0,0,OTHER
TRIREDRAFT_102381-t26_1,0,0,OTHER
TRIREDRAFT_102382-t26_1,0,0,OTHER
TRIREDRAFT_102383-t26_1,0,0,OTHER
TRIREDRAFT_102385-t26_1,0,0,OTHER
TRIREDRAFT_102386-t26_1,0,0,OTHER
TRIREDRAFT_102401-t26_1,0,0,OTHER
TRIREDRAFT_102403-t26_1,0,0,OTHER
TRIREDRAFT_102414-t26_1,0,0,OTHER
TRIREDRAFT_102416-t26_1,0,0,OTHER
TRIREDRAFT_102444-t26_1,0,0,OTHER
TRIREDRAFT_102451-t26_1,0,0,OTHER
TRIREDRAFT_102454-t26_1,0,0,OTHER
TRIREDRAFT_102458-t26_1,0,0,OTHER
TRIREDRAFT_102461-t26_1,0,0,OTHER
TRIREDRAFT_102464-t26_1,0,0,OTHER
TRIREDRAFT_102467-t26_1,0,0,OTHER
TRIREDRAFT_102468-t26_1,0,0,OTHER
TRIREDRAFT_102476-t26_1,0,0,OTHER
TRIREDRAFT_102482-t26_1,0,0,OTHER
TRIREDRAFT_102492-t26_1,0,0,OTHER
TRIREDRAFT_102497-t26_1,0,0,OTHER
TRIREDRAFT_102499-t26_1,0,0,OTHER
TRIREDRAFT_102504-t26_1,0,0,OTHER
TRIREDRAFT_102512-t26_1,0,0,OTHER
TRIREDRAFT_102521-t26_1,0,0,OTHER
TRIREDRAFT_102554-t26_1,0,0,OTHER
TRIREDRAFT_102555-t26_1,0,0,OTHER
TRIREDRAFT_102559-t26_1,0,0,OTHER
TRIREDRAFT_102561-t26_1,0,0,OTHER
TRIREDRAFT_102562-t26_1,0,0,OTHER
TRIREDRAFT_102567-t26_1,0,0,OTHER
TRIREDRAFT_102572-t26_1,0,0,OTHER
TRIREDRAFT_102579.R109,0,0,OTHER
TRIREDRAFT_102581.R108,0,0,OTHER
TRIREDRAFT_102593-t26_1,0,0,OTHER
TRIREDRAFT_102599-t26_1,0,0,OTHER
TRIREDRAFT_102603-t26_1,0,0,OTHER
TRIREDRAFT_102607-t26_1,0,0,OTHER
TRIREDRAFT_102612-t26_1,0,0,OTHER
TRIREDRAFT_102616-t26_1,0,0,OTHER
TRIREDRAFT_102619-t26_1,0,0,OTHER
TRIREDRAFT_102627-t26_1,0,0,OTHER
TRIREDRAFT_102637-t26_1,0,0,OTHER
TRIREDRAFT_102640-t26_1,0,0,OTHER
TRIREDRAFT_102641-t26_1,0,0,OTHER
TRIREDRAFT_102648-t26_1,0,0,OTHER
TRIREDRAFT_102650-t26_1,0,0,OTHER
TRIREDRAFT_102652-t26_1,0,0,OTHER
TRIREDRAFT_102655-t26_1,0,0,OTHER
TRIREDRAFT_102659.R98,0,0,OTHER
TRIREDRAFT_102668-t26_1,0,0,OTHER
TRIREDRAFT_102672-t26_1,0,0,OTHER
TRIREDRAFT_102673.R96,0,0,OTHER
TRIREDRAFT_102676-t26_1,0,0,OTHER
TRIREDRAFT_102677-t26_1,0,0,OTHER
TRIREDRAFT_102680-t26_1,0,0,OTHER
TRIREDRAFT_102686-t26_1,0,0,OTHER
TRIREDRAFT_102694-t26_1,0,0,OTHER
TRIREDRAFT_102700-t26_1,0,0,OTHER
TRIREDRAFT_102705-t26_1,0,0,OTHER
TRIREDRAFT_102711-t26_1,0,0,OTHER
TRIREDRAFT_102723.R89,0,0,OTHER
TRIREDRAFT_102735-t26_1,0,0,OTHER
TRIREDRAFT_102737-t26_1,0,0,OTHER
TRIREDRAFT_102743-t26_1,0,0,OTHER
TRIREDRAFT_102744-t26_1,0,0,OTHER
TRIREDRAFT_102763-t26_1,0,0,OTHER
TRIREDRAFT_102766-t26_1,0,0,OTHER
TRIREDRAFT_102769.R83,0,0,OTHER
TRIREDRAFT_102772-t26_1,0,0,OTHER
TRIREDRAFT_102773-t26_1,0,0,OTHER
TRIREDRAFT_102774-t26_1,0,0,OTHER
TRIREDRAFT_102775-t26_1,0,0,OTHER
TRIREDRAFT_102776-t26_1,0,0,OTHER
TRIREDRAFT_102778-t26_1,0,0,OTHER
TRIREDRAFT_102779-t26_1,0,0,OTHER
TRIREDRAFT_102780-t26_1,0,0,OTHER
TRIREDRAFT_102785-t26_1,0,0,OTHER
TRIREDRAFT_102787-t26_1,0,0,OTHER
TRIREDRAFT_102788-t26_1,0,0,OTHER
TRIREDRAFT_102789-t26_1,0,0,OTHER
TRIREDRAFT_102794-t26_1,0,0,OTHER
TRIREDRAFT_102799.R80,0,0,OTHER
TRIREDRAFT_102813-t26_1,0,0,OTHER
TRIREDRAFT_102816.R76,0,0,OTHER
TRIREDRAFT_102830-t26_1,0,0,OTHER
TRIREDRAFT_102855-t26_1,0,0,OTHER
TRIREDRAFT_102863-t26_1,0,0,OTHER
TRIREDRAFT_102864-t26_1,0,0,OTHER
TRIREDRAFT_102870-t26_1,0,0,OTHER
TRIREDRAFT_102876-t26_1,0,0,OTHER
TRIREDRAFT_102884-t26_1,0,0,OTHER
TRIREDRAFT_102887-t26_1,0,0,OTHER
TRIREDRAFT_102890-t26_1,0,0,OTHER
TRIREDRAFT_102892-t26_1,0,0,OTHER
TRIREDRAFT_102901-t26_1,0,0,OTHER
TRIREDRAFT_102904-t26_1,0,0,OTHER
TRIREDRAFT_102906-t26_1,0,0,OTHER
TRIREDRAFT_102909-t26_1,0,0,OTHER
TRIREDRAFT_102920.R63,0,0,OTHER
TRIREDRAFT_102927-t26_1,0,0,OTHER
TRIREDRAFT_102933-t26_1,0,0,OTHER
TRIREDRAFT_102935-t26_1,0,0,OTHER
TRIREDRAFT_102936-t26_1,0,0,OTHER
TRIREDRAFT_102941-t26_1,0,0,OTHER
TRIREDRAFT_102947-t26_1,0,0,OTHER
TRIREDRAFT_102952-t26_1,0,0,OTHER
TRIREDRAFT_102953-t26_1,0,0,OTHER
TRIREDRAFT_102957-t26_1,0,0,OTHER
TRIREDRAFT_102960.R57,0,0,OTHER
TRIREDRAFT_102966-t26_1,0,0,OTHER
TRIREDRAFT_102970-t26_1,0,0,OTHER
TRIREDRAFT_102973-t26_1,0,0,OTHER
TRIREDRAFT_102976-t26_1,0,0,OTHER
TRIREDRAFT_102980-t26_1,0,0,OTHER
TRIREDRAFT_102985.R55,0,0,OTHER
TRIREDRAFT_102989-t26_1,0,0,OTHER
TRIREDRAFT_102996-t26_1,0,0,OTHER
TRIREDRAFT_102998-t26_1,0,0,OTHER
TRIREDRAFT_102999-t26_1,0,0,OTHER
TRIREDRAFT_103002-t26_1,0,0,OTHER
TRIREDRAFT_103006-t26_1,0,0,OTHER
TRIREDRAFT_103012-t26_1,0,0,OTHER
TRIREDRAFT_103015-t26_1,0,0,OTHER
TRIREDRAFT_103023-t26_1,0,0,OTHER
TRIREDRAFT_103028-t26_1,0,0,OTHER
TRIREDRAFT_103031-t26_1,0,0,OTHER
TRIREDRAFT_103032-t26_1,0,0,OTHER
TRIREDRAFT_103034.R120,0,0,OTHER
TRIREDRAFT_103041-t26_1,0,0,OTHER
TRIREDRAFT_103043-t26_1,0,0,OTHER
TRIREDRAFT_103044-t26_1,0,0,OTHER
TRIREDRAFT_103048-t26_1,0,0,OTHER
TRIREDRAFT_103059-t26_1,0,0,OTHER
TRIREDRAFT_103060-t26_1,0,0,OTHER
TRIREDRAFT_103061-t26_1,0,0,OTHER
TRIREDRAFT_103062-t26_1,0,0,OTHER
TRIREDRAFT_103063-t26_1,0,0,OTHER
TRIREDRAFT_103064-t26_1,0,0,OTHER
TRIREDRAFT_103065-t26_1,0,0,OTHER
TRIREDRAFT_103073-t26_1,0,0,OTHER
TRIREDRAFT_103103-t26_1,0,0,OTHER
TRIREDRAFT_103108.R112,0,0,OTHER
TRIREDRAFT_103112-t26_1,0,0,OTHER
TRIREDRAFT_103113-t26_1,0,0,OTHER
TRIREDRAFT_103114-t26_1,0,0,OTHER
TRIREDRAFT_103119-t26_1,0,0,OTHER
TRIREDRAFT_103121-t26_1,0,0,OTHER
TRIREDRAFT_103122-t26_1,0,0,OTHER
TRIREDRAFT_103129-t26_1,0,0,OTHER
TRIREDRAFT_103131-t26_1,0,0,OTHER
TRIREDRAFT_103132-t26_1,0,0,OTHER
TRIREDRAFT_103133-t26_1,0,0,OTHER
TRIREDRAFT_103134-t26_1,0,0,OTHER
TRIREDRAFT_103138-t26_1,0,0,OTHER
TRIREDRAFT_103143-t26_1,0,0,OTHER
TRIREDRAFT_103145-t26_1,0,0,OTHER
TRIREDRAFT_103147-t26_1,0,0,OTHER
TRIREDRAFT_103149-t26_1,0,0,OTHER
TRIREDRAFT_103153-t26_1,0,0,OTHER
TRIREDRAFT_103155-t26_1,0,0,OTHER
TRIREDRAFT_103156-t26_1,0,0,OTHER
TRIREDRAFT_103157-t26_1,0,0,OTHER
TRIREDRAFT_103158-t26_1,0,0,OTHER
TRIREDRAFT_103167-t26_1,0,0,OTHER
TRIREDRAFT_103172-t26_1,0,0,OTHER
TRIREDRAFT_103175-t26_1,0,0,OTHER
TRIREDRAFT_103176-t26_1,0,0,OTHER
TRIREDRAFT_103177-t26_1,0,0,OTHER
TRIREDRAFT_103179-t26_1,0,0,OTHER
TRIREDRAFT_103180-t26_1,0,0,OTHER
TRIREDRAFT_103186-t26_1,0,0,OTHER
TRIREDRAFT_103189-t26_1,0,0,OTHER
TRIREDRAFT_103191-t26_1,0,0,OTHER
TRIREDRAFT_103193-t26_1,0,0,OTHER
TRIREDRAFT_103209-t26_1,0,0,OTHER
TRIREDRAFT_103222-t26_1,0,0,OTHER
TRIREDRAFT_103230-t26_1,0,0,OTHER
TRIREDRAFT_103252-t26_1,0,0,OTHER
TRIREDRAFT_103273-t26_1,0,0,OTHER
TRIREDRAFT_103275-t26_1,0,0,OTHER
TRIREDRAFT_103276-t26_1,0,0,OTHER
TRIREDRAFT_103282-t26_1,0,0,OTHER
TRIREDRAFT_103286-t26_1,0,0,OTHER
TRIREDRAFT_103291-t26_1,0,0,OTHER
TRIREDRAFT_103302-t26_1,0,0,OTHER
TRIREDRAFT_103303-t26_1,0,0,OTHER
TRIREDRAFT_103311-t26_1,0,0,OTHER
TRIREDRAFT_103312-t26_1,0,0,OTHER
TRIREDRAFT_103321-t26_1,0,0,OTHER
TRIREDRAFT_103322-t26_1,0,0,OTHER
TRIREDRAFT_103330-t26_1,0,0,OTHER
TRIREDRAFT_103335-t26_1,0,0,OTHER
TRIREDRAFT_103336-t26_1,0,0,OTHER
TRIREDRAFT_103348-t26_1,0,0,OTHER
TRIREDRAFT_103350-t26_1,0,0,OTHER
TRIREDRAFT_103364-t26_1,0,0,OTHER
TRIREDRAFT_103366-t26_1,0,0,OTHER
TRIREDRAFT_103372-t26_1,0,0,OTHER
TRIREDRAFT_103376-t26_1,0,0,OTHER
TRIREDRAFT_103394-t26_1,0,0,OTHER
TRIREDRAFT_103395-t26_1,0,0,OTHER
TRIREDRAFT_103403-t26_1,0,0,OTHER
TRIREDRAFT_103411-t26_1,0,0,OTHER
TRIREDRAFT_103421-t26_1,0,0,OTHER
TRIREDRAFT_103437-t26_1,0,0,OTHER
TRIREDRAFT_103438-t26_1,0,0,OTHER
TRIREDRAFT_103442-t26_1,0,0,OTHER
TRIREDRAFT_103446-t26_1,0,0,OTHER
TRIREDRAFT_103447-t26_1,0,0,OTHER
TRIREDRAFT_103451-t26_1,0,0,OTHER
TRIREDRAFT_103455.R131,0,0,OTHER
TRIREDRAFT_103459-t26_1,0,0,OTHER
TRIREDRAFT_103463-t26_1,0,0,OTHER
TRIREDRAFT_103470-t26_1,0,0,OTHER
TRIREDRAFT_103482-t26_1,0,0,OTHER
TRIREDRAFT_103498-t26_1,0,0,OTHER
TRIREDRAFT_103506-t26_1,0,0,OTHER
TRIREDRAFT_103517.R146,0,0,OTHER
TRIREDRAFT_103537-t26_1,0,0,OTHER
TRIREDRAFT_103555-t26_1,0,0,OTHER
TRIREDRAFT_103560-t26_1,0,0,OTHER
TRIREDRAFT_103563-t26_1,0,0,OTHER
TRIREDRAFT_103576-t26_1,0,0,OTHER
TRIREDRAFT_103594-t26_1,0,0,OTHER
TRIREDRAFT_103597.R188,0,0,OTHER
TRIREDRAFT_103599-t26_1,0,0,OTHER
TRIREDRAFT_103613-t26_1,0,0,OTHER
TRIREDRAFT_103614-t26_1,0,0,OTHER
TRIREDRAFT_103618-t26_1,0,0,OTHER
TRIREDRAFT_103625-t26_1,0,0,OTHER
TRIREDRAFT_103651-t26_1,0,0,OTHER
TRIREDRAFT_103653-t26_1,0,0,OTHER
TRIREDRAFT_103655.R168,0,0,OTHER
TRIREDRAFT_103660-t26_1,0,0,OTHER
TRIREDRAFT_103668.R169,0,0,OTHER
TRIREDRAFT_103669-t26_1,0,0,OTHER
TRIREDRAFT_103671-t26_1,0,0,OTHER
TRIREDRAFT_103683-t26_1,0,0,OTHER
TRIREDRAFT_103695-t26_1,0,0,OTHER
TRIREDRAFT_103703-t26_1,0,0,OTHER
TRIREDRAFT_103715-t26_1,0,0,OTHER
TRIREDRAFT_103720.R181,0,0,OTHER
TRIREDRAFT_103725-t26_1,0,0,OTHER
TRIREDRAFT_103739-t26_1,0,0,OTHER
TRIREDRAFT_103745-t26_1,0,0,OTHER
TRIREDRAFT_103747-t26_1,0,0,OTHER
TRIREDRAFT_103751-t26_1,0,0,OTHER
TRIREDRAFT_103754-t26_1,0,0,OTHER
TRIREDRAFT_103755-t26_1,0,0,OTHER
TRIREDRAFT_103756.R184,0,0,OTHER
TRIREDRAFT_103761-t26_1,0,0,OTHER
TRIREDRAFT_103771-t26_1,0,0,OTHER
TRIREDRAFT_103772-t26_1,0,0,OTHER
TRIREDRAFT_103774-t26_1,0,0,OTHER
TRIREDRAFT_103778-t26_1,0,0,OTHER
TRIREDRAFT_103799-t26_1,0,0,OTHER
TRIREDRAFT_103801-t26_1,0,0,OTHER
TRIREDRAFT_103804-t26_1,0,0,OTHER
TRIREDRAFT_103812-t26_1,0,0,OTHER
TRIREDRAFT_103813-t26_1,0,0,OTHER
TRIREDRAFT_103822.R196,0,0,OTHER
TRIREDRAFT_103827-t26_1,0,0,OTHER
TRIREDRAFT_103844-t26_1,0,0,OTHER
TRIREDRAFT_103852-t26_1,0,0,OTHER
TRIREDRAFT_103853-t26_1,0,0,OTHER
TRIREDRAFT_103861-t26_1,0,0,OTHER
TRIREDRAFT_103863-t26_1,0,0,OTHER
TRIREDRAFT_103898-t26_1,0,0,OTHER
TRIREDRAFT_103900-t26_1,0,0,OTHER
TRIREDRAFT_103907-t26_1,0,0,OTHER
TRIREDRAFT_103917.R209,0,0,OTHER
TRIREDRAFT_103920-t26_1,0,0,OTHER
TRIREDRAFT_103930-t26_1,0,0,OTHER
TRIREDRAFT_103937.R213,0,0,OTHER
TRIREDRAFT_103947-t26_1,0,0,OTHER
TRIREDRAFT_103949-t26_1,0,0,OTHER
TRIREDRAFT_103951-t26_1,0,0,OTHER
TRIREDRAFT_103959-t26_1,0,0,OTHER
TRIREDRAFT_103960.R215,0,0,OTHER
TRIREDRAFT_103993-t26_1,0,0,OTHER
TRIREDRAFT_104000-t26_1,0,0,OTHER
TRIREDRAFT_104004-t26_1,0,0,OTHER
TRIREDRAFT_104015-t26_1,0,0,OTHER
TRIREDRAFT_104016-t26_1,0,0,OTHER
TRIREDRAFT_104021.R224,0,0,OTHER
TRIREDRAFT_104046-t26_1,0,0,OTHER
TRIREDRAFT_104054-t26_1,0,0,OTHER
TRIREDRAFT_104059-t26_1,0,0,OTHER
TRIREDRAFT_104064-t26_1,0,0,OTHER
TRIREDRAFT_104071-t26_1,0,0,OTHER
TRIREDRAFT_104073-t26_1,0,0,OTHER
TRIREDRAFT_104075-t26_1,0,0,OTHER
TRIREDRAFT_104081-t26_1,0,0,OTHER
TRIREDRAFT_104089-t26_1,0,0,OTHER
TRIREDRAFT_104097-t26_1,0,0,OTHER
TRIREDRAFT_104102-t26_1,0,0,OTHER
TRIREDRAFT_104103-t26_1,0,0,OTHER
TRIREDRAFT_104104-t26_1,0,0,OTHER
TRIREDRAFT_104109-t26_1,0,0,OTHER
TRIREDRAFT_104115-t26_1,0,0,OTHER
TRIREDRAFT_104116-t26_1,0,0,OTHER
TRIREDRAFT_104117-t26_1,0,0,OTHER
TRIREDRAFT_104118-t26_1,0,0,OTHER
TRIREDRAFT_104132-t26_1,0,0,OTHER
TRIREDRAFT_104135-t26_1,0,0,OTHER
TRIREDRAFT_104137-t26_1,0,0,OTHER
TRIREDRAFT_104140-t26_1,0,0,OTHER
TRIREDRAFT_104141-t26_1,0,0,OTHER
TRIREDRAFT_104152-t26_1,0,0,OTHER
TRIREDRAFT_104156-t26_1,0,0,OTHER
TRIREDRAFT_104157-t26_1,0,0,OTHER
TRIREDRAFT_104161-t26_1,0,0,OTHER
TRIREDRAFT_104171-t26_1,0,0,OTHER
TRIREDRAFT_104174-t26_1,0,0,OTHER
TRIREDRAFT_104175-t26_1,0,0,OTHER
TRIREDRAFT_104180-t26_1,0,0,OTHER
TRIREDRAFT_104182-t26_1,0,0,OTHER
TRIREDRAFT_104199-t26_1,0,0,OTHER
TRIREDRAFT_104200-t26_1,0,0,OTHER
TRIREDRAFT_104201-t26_1,0,0,OTHER
TRIREDRAFT_104202-t26_1,0,0,OTHER
TRIREDRAFT_104207-t26_1,0,0,OTHER
TRIREDRAFT_104209-t26_1,0,0,OTHER
TRIREDRAFT_104211-t26_1,0,0,OTHER
TRIREDRAFT_104215-t26_1,0,0,OTHER
TRIREDRAFT_104217-t26_1,0,0,OTHER
TRIREDRAFT_104220-t26_1,0,0,OTHER
TRIREDRAFT_104222-t26_1,0,0,OTHER
TRIREDRAFT_104228-t26_1,0,0,OTHER
TRIREDRAFT_104239-t26_1,0,0,OTHER
