seqid,phobius_start,phobius_end,phobius_type
tr|A0A1B2J6U3|A0A1B2J6U3_PICPA,0,0,OTHER
tr|A0A1B2J6V1|A0A1B2J6V1_PICPA,0,0,OTHER
tr|A0A1B2J6V7|A0A1B2J6V7_PICPA,0,0,OTHER
tr|A0A1B2J6W3|A0A1B2J6W3_PICPA,0,0,OTHER
tr|A0A1B2J6W9|A0A1B2J6W9_PICPA,0,0,OTHER
tr|A0A1B2J6X0|A0A1B2J6X0_PICPA,0,0,OTHER
tr|A0A1B2J6X1|A0A1B2J6X1_PICPA,0,0,OTHER
tr|A0A1B2J6X2|A0A1B2J6X2_PICPA,0,0,OTHER
tr|A0A1B2J6X5|A0A1B2J6X5_PICPA,0,0,OTHER
tr|A0A1B2J6X7|A0A1B2J6X7_PICPA,0,0,OTHER
tr|A0A1B2J6X8|A0A1B2J6X8_PICPA,0,0,OTHER
tr|A0A1B2J6Y0|A0A1B2J6Y0_PICPA,0,0,OTHER
tr|A0A1B2J6Y6|A0A1B2J6Y6_PICPA,0,0,OTHER
tr|A0A1B2J6Z0|A0A1B2J6Z0_PICPA,0,0,OTHER
tr|A0A1B2J6Z1|A0A1B2J6Z1_PICPA,0,0,OTHER
tr|A0A1B2J6Z4|A0A1B2J6Z4_PICPA,0,0,OTHER
tr|A0A1B2J6Z8|A0A1B2J6Z8_PICPA,0,0,OTHER
tr|A0A1B2J700|A0A1B2J700_PICPA,0,0,OTHER
tr|A0A1B2J705|A0A1B2J705_PICPA,0,0,OTHER
tr|A0A1B2J708|A0A1B2J708_PICPA,0,0,OTHER
tr|A0A1B2J709|A0A1B2J709_PICPA,0,0,OTHER
tr|A0A1B2J711|A0A1B2J711_PICPA,0,0,OTHER
tr|A0A1B2J716|A0A1B2J716_PICPA,0,0,OTHER
tr|A0A1B2J718|A0A1B2J718_PICPA,0,0,OTHER
tr|A0A1B2J719|A0A1B2J719_PICPA,0,0,OTHER
tr|A0A1B2J720|A0A1B2J720_PICPA,0,0,OTHER
tr|A0A1B2J722|A0A1B2J722_PICPA,0,0,OTHER
tr|A0A1B2J724|A0A1B2J724_PICPA,0,0,OTHER
tr|A0A1B2J732|A0A1B2J732_PICPA,0,0,OTHER
tr|A0A1B2J733|A0A1B2J733_PICPA,0,0,OTHER
tr|A0A1B2J735|A0A1B2J735_PICPA,0,0,OTHER
tr|A0A1B2J741|A0A1B2J741_PICPA,0,0,OTHER
tr|A0A1B2J744|A0A1B2J744_PICPA,0,0,OTHER
tr|A0A1B2J746|A0A1B2J746_PICPA,0,0,OTHER
tr|A0A1B2J750|A0A1B2J750_PICPA,0,0,OTHER
tr|A0A1B2J752|A0A1B2J752_PICPA,0,0,OTHER
tr|A0A1B2J754|A0A1B2J754_PICPA,0,0,OTHER
tr|A0A1B2J756|A0A1B2J756_PICPA,0,0,OTHER
tr|A0A1B2J757|A0A1B2J757_PICPA,0,0,OTHER
tr|A0A1B2J767|A0A1B2J767_PICPA,0,0,OTHER
tr|A0A1B2J776|A0A1B2J776_PICPA,0,0,OTHER
tr|A0A1B2J779|A0A1B2J779_PICPA,0,0,OTHER
tr|A0A1B2J784|A0A1B2J784_PICPA,0,0,OTHER
tr|A0A1B2J793|A0A1B2J793_PICPA,0,0,OTHER
tr|A0A1B2J795|A0A1B2J795_PICPA,0,0,OTHER
tr|A0A1B2J797|A0A1B2J797_PICPA,0,0,OTHER
tr|A0A1B2J7A3|A0A1B2J7A3_PICPA,0,0,OTHER
tr|A0A1B2J7A9|A0A1B2J7A9_PICPA,0,0,OTHER
tr|A0A1B2J7B1|A0A1B2J7B1_PICPA,0,0,OTHER
tr|A0A1B2J7B4|A0A1B2J7B4_PICPA,0,0,OTHER
tr|A0A1B2J7B9|A0A1B2J7B9_PICPA,0,0,OTHER
tr|A0A1B2J7C3|A0A1B2J7C3_PICPA,0,0,OTHER
tr|A0A1B2J7C5|A0A1B2J7C5_PICPA,0,0,OTHER
tr|A0A1B2J7C9|A0A1B2J7C9_PICPA,0,0,OTHER
tr|A0A1B2J7D4|A0A1B2J7D4_PICPA,0,0,OTHER
tr|A0A1B2J7D9|A0A1B2J7D9_PICPA,0,0,OTHER
tr|A0A1B2J7E1|A0A1B2J7E1_PICPA,0,0,OTHER
tr|A0A1B2J7E2|A0A1B2J7E2_PICPA,0,0,OTHER
tr|A0A1B2J7F1|A0A1B2J7F1_PICPA,0,0,OTHER
tr|A0A1B2J7F2|A0A1B2J7F2_PICPA,0,0,OTHER
tr|A0A1B2J7F6|A0A1B2J7F6_PICPA,0,0,OTHER
tr|A0A1B2J7G3|A0A1B2J7G3_PICPA,0,0,OTHER
tr|A0A1B2J7G9|A0A1B2J7G9_PICPA,0,0,OTHER
tr|A0A1B2J7H5|A0A1B2J7H5_PICPA,0,0,OTHER
tr|A0A1B2J7H6|A0A1B2J7H6_PICPA,0,0,OTHER
tr|A0A1B2J7H9|A0A1B2J7H9_PICPA,0,0,OTHER
tr|A0A1B2J7I0|A0A1B2J7I0_PICPA,0,0,OTHER
tr|A0A1B2J7I7|A0A1B2J7I7_PICPA,0,0,OTHER
tr|A0A1B2J7I8|A0A1B2J7I8_PICPA,0,0,OTHER
tr|A0A1B2J7J2|A0A1B2J7J2_PICPA,0,0,OTHER
tr|A0A1B2J7J4|A0A1B2J7J4_PICPA,0,0,OTHER
tr|A0A1B2J7J6|A0A1B2J7J6_PICPA,0,0,OTHER
tr|A0A1B2J7J8|A0A1B2J7J8_PICPA,0,0,OTHER
tr|A0A1B2J7K1|A0A1B2J7K1_PICPA,0,0,OTHER
tr|A0A1B2J7K7|A0A1B2J7K7_PICPA,0,0,OTHER
tr|A0A1B2J7K8|A0A1B2J7K8_PICPA,0,0,OTHER
tr|A0A1B2J7K9|A0A1B2J7K9_PICPA,0,0,OTHER
tr|A0A1B2J7L5|A0A1B2J7L5_PICPA,0,0,OTHER
tr|A0A1B2J7M1|A0A1B2J7M1_PICPA,0,0,OTHER
tr|A0A1B2J7M6|A0A1B2J7M6_PICPA,0,0,OTHER
tr|A0A1B2J7M9|A0A1B2J7M9_PICPA,0,0,OTHER
tr|A0A1B2J7N0|A0A1B2J7N0_PICPA,0,0,OTHER
tr|A0A1B2J7N5|A0A1B2J7N5_PICPA,0,0,OTHER
tr|A0A1B2J7N8|A0A1B2J7N8_PICPA,0,0,OTHER
tr|A0A1B2J7P1|A0A1B2J7P1_PICPA,0,0,OTHER
tr|A0A1B2J7P7|A0A1B2J7P7_PICPA,0,0,OTHER
tr|A0A1B2J7Q1|A0A1B2J7Q1_PICPA,0,0,OTHER
tr|A0A1B2J7Q7|A0A1B2J7Q7_PICPA,0,0,OTHER
tr|A0A1B2J7Q8|A0A1B2J7Q8_PICPA,0,0,OTHER
tr|A0A1B2J7R6|A0A1B2J7R6_PICPA,0,0,OTHER
tr|A0A1B2J7R9|A0A1B2J7R9_PICPA,0,0,OTHER
tr|A0A1B2J7S3|A0A1B2J7S3_PICPA,0,0,OTHER
tr|A0A1B2J7S7|A0A1B2J7S7_PICPA,0,0,OTHER
tr|A0A1B2J7T3|A0A1B2J7T3_PICPA,0,0,OTHER
tr|A0A1B2J7T7|A0A1B2J7T7_PICPA,0,0,OTHER
tr|A0A1B2J7T8|A0A1B2J7T8_PICPA,0,0,OTHER
tr|A0A1B2J7U0|A0A1B2J7U0_PICPA,0,0,OTHER
tr|A0A1B2J7U3|A0A1B2J7U3_PICPA,0,0,OTHER
tr|A0A1B2J7U5|A0A1B2J7U5_PICPA,0,0,OTHER
tr|A0A1B2J7V1|A0A1B2J7V1_PICPA,0,0,OTHER
tr|A0A1B2J7V4|A0A1B2J7V4_PICPA,0,0,OTHER
tr|A0A1B2J7V5|A0A1B2J7V5_PICPA,0,0,OTHER
tr|A0A1B2J7V9|A0A1B2J7V9_PICPA,0,0,OTHER
tr|A0A1B2J7W0|A0A1B2J7W0_PICPA,0,0,OTHER
tr|A0A1B2J7W1|A0A1B2J7W1_PICPA,0,0,OTHER
tr|A0A1B2J7W3|A0A1B2J7W3_PICPA,0,0,OTHER
tr|A0A1B2J7W5|A0A1B2J7W5_PICPA,0,0,OTHER
tr|A0A1B2J7W6|A0A1B2J7W6_PICPA,0,0,OTHER
tr|A0A1B2J7W8|A0A1B2J7W8_PICPA,0,0,OTHER
tr|A0A1B2J7X0|A0A1B2J7X0_PICPA,0,0,OTHER
tr|A0A1B2J7X1|A0A1B2J7X1_PICPA,0,0,OTHER
tr|A0A1B2J7X2|A0A1B2J7X2_PICPA,0,0,OTHER
tr|A0A1B2J7X5|A0A1B2J7X5_PICPA,0,0,OTHER
tr|A0A1B2J7X7|A0A1B2J7X7_PICPA,0,0,OTHER
tr|A0A1B2J7X8|A0A1B2J7X8_PICPA,0,0,OTHER
tr|A0A1B2J7X9|A0A1B2J7X9_PICPA,0,0,OTHER
tr|A0A1B2J7Y2|A0A1B2J7Y2_PICPA,0,0,OTHER
tr|A0A1B2J7Y6|A0A1B2J7Y6_PICPA,0,0,OTHER
tr|A0A1B2J7Y8|A0A1B2J7Y8_PICPA,0,0,OTHER
tr|A0A1B2J7Y9|A0A1B2J7Y9_PICPA,0,0,OTHER
tr|A0A1B2J7Z3|A0A1B2J7Z3_PICPA,0,0,OTHER
tr|A0A1B2J7Z7|A0A1B2J7Z7_PICPA,0,0,OTHER
tr|A0A1B2J802|A0A1B2J802_PICPA,0,0,OTHER
tr|A0A1B2J803|A0A1B2J803_PICPA,0,0,OTHER
tr|A0A1B2J805|A0A1B2J805_PICPA,0,0,OTHER
tr|A0A1B2J806|A0A1B2J806_PICPA,0,0,OTHER
tr|A0A1B2J807|A0A1B2J807_PICPA,0,0,OTHER
tr|A0A1B2J810|A0A1B2J810_PICPA,0,0,OTHER
tr|A0A1B2J812|A0A1B2J812_PICPA,0,0,OTHER
tr|A0A1B2J817|A0A1B2J817_PICPA,0,0,OTHER
tr|A0A1B2J821|A0A1B2J821_PICPA,0,0,OTHER
tr|A0A1B2J823|A0A1B2J823_PICPA,0,0,OTHER
tr|A0A1B2J828|A0A1B2J828_PICPA,0,0,OTHER
tr|A0A1B2J829|A0A1B2J829_PICPA,0,0,OTHER
tr|A0A1B2J830|A0A1B2J830_PICPA,0,0,OTHER
tr|A0A1B2J835|A0A1B2J835_PICPA,0,0,OTHER
tr|A0A1B2J842|A0A1B2J842_PICPA,0,0,OTHER
tr|A0A1B2J850|A0A1B2J850_PICPA,0,0,OTHER
tr|A0A1B2J852|A0A1B2J852_PICPA,0,0,OTHER
tr|A0A1B2J853|A0A1B2J853_PICPA,0,0,OTHER
tr|A0A1B2J854|A0A1B2J854_PICPA,0,0,OTHER
tr|A0A1B2J855|A0A1B2J855_PICPA,0,0,OTHER
tr|A0A1B2J856|A0A1B2J856_PICPA,0,0,OTHER
tr|A0A1B2J861|A0A1B2J861_PICPA,0,0,OTHER
tr|A0A1B2J866|A0A1B2J866_PICPA,0,0,OTHER
tr|A0A1B2J871|A0A1B2J871_PICPA,0,0,OTHER
tr|A0A1B2J876|A0A1B2J876_PICPA,0,0,OTHER
tr|A0A1B2J877|A0A1B2J877_PICPA,0,0,OTHER
tr|A0A1B2J880|A0A1B2J880_PICPA,0,0,OTHER
tr|A0A1B2J883|A0A1B2J883_PICPA,0,0,OTHER
tr|A0A1B2J885|A0A1B2J885_PICPA,0,0,OTHER
tr|A0A1B2J886|A0A1B2J886_PICPA,0,0,OTHER
tr|A0A1B2J887|A0A1B2J887_PICPA,0,0,OTHER
tr|A0A1B2J889|A0A1B2J889_PICPA,0,0,OTHER
tr|A0A1B2J896|A0A1B2J896_PICPA,0,0,OTHER
tr|A0A1B2J8A1|A0A1B2J8A1_PICPA,0,0,OTHER
tr|A0A1B2J8A5|A0A1B2J8A5_PICPA,0,0,OTHER
tr|A0A1B2J8A6|A0A1B2J8A6_PICPA,0,0,OTHER
tr|A0A1B2J8A7|A0A1B2J8A7_PICPA,0,0,OTHER
tr|A0A1B2J8B2|A0A1B2J8B2_PICPA,0,0,OTHER
tr|A0A1B2J8B4|A0A1B2J8B4_PICPA,0,0,OTHER
tr|A0A1B2J8B5|A0A1B2J8B5_PICPA,0,0,OTHER
tr|A0A1B2J8B9|A0A1B2J8B9_PICPA,0,0,OTHER
tr|A0A1B2J8C0|A0A1B2J8C0_PICPA,0,0,OTHER
tr|A0A1B2J8C1|A0A1B2J8C1_PICPA,0,0,OTHER
tr|A0A1B2J8C5|A0A1B2J8C5_PICPA,0,0,OTHER
tr|A0A1B2J8C6|A0A1B2J8C6_PICPA,0,0,OTHER
tr|A0A1B2J8D2|A0A1B2J8D2_PICPA,0,0,OTHER
tr|A0A1B2J8D3|A0A1B2J8D3_PICPA,0,0,OTHER
tr|A0A1B2J8D9|A0A1B2J8D9_PICPA,0,0,OTHER
tr|A0A1B2J8E3|A0A1B2J8E3_PICPA,0,0,OTHER
tr|A0A1B2J8E4|A0A1B2J8E4_PICPA,0,0,OTHER
tr|A0A1B2J8E9|A0A1B2J8E9_PICPA,0,0,OTHER
tr|A0A1B2J8F5|A0A1B2J8F5_PICPA,0,0,OTHER
tr|A0A1B2J8F8|A0A1B2J8F8_PICPA,0,0,OTHER
tr|A0A1B2J8F9|A0A1B2J8F9_PICPA,0,0,OTHER
tr|A0A1B2J8G1|A0A1B2J8G1_PICPA,0,0,OTHER
tr|A0A1B2J8H0|A0A1B2J8H0_PICPA,0,0,OTHER
tr|A0A1B2J8H3|A0A1B2J8H3_PICPA,0,0,OTHER
tr|A0A1B2J8H4|A0A1B2J8H4_PICPA,0,0,OTHER
tr|A0A1B2J8H5|A0A1B2J8H5_PICPA,0,0,OTHER
tr|A0A1B2J8H8|A0A1B2J8H8_PICPA,0,0,OTHER
tr|A0A1B2J8I1|A0A1B2J8I1_PICPA,0,0,OTHER
tr|A0A1B2J8I2|A0A1B2J8I2_PICPA,0,0,OTHER
tr|A0A1B2J8I4|A0A1B2J8I4_PICPA,0,0,OTHER
tr|A0A1B2J8J1|A0A1B2J8J1_PICPA,0,0,OTHER
tr|A0A1B2J8J2|A0A1B2J8J2_PICPA,0,0,OTHER
tr|A0A1B2J8J7|A0A1B2J8J7_PICPA,0,0,OTHER
tr|A0A1B2J8K1|A0A1B2J8K1_PICPA,0,0,OTHER
tr|A0A1B2J8K5|A0A1B2J8K5_PICPA,0,0,OTHER
tr|A0A1B2J8K6|A0A1B2J8K6_PICPA,0,0,OTHER
tr|A0A1B2J8K7|A0A1B2J8K7_PICPA,0,0,OTHER
tr|A0A1B2J8L5|A0A1B2J8L5_PICPA,0,0,OTHER
tr|A0A1B2J8L7|A0A1B2J8L7_PICPA,0,0,OTHER
tr|A0A1B2J8L9|A0A1B2J8L9_PICPA,0,0,OTHER
tr|A0A1B2J8M2|A0A1B2J8M2_PICPA,0,0,OTHER
tr|A0A1B2J8M6|A0A1B2J8M6_PICPA,0,0,OTHER
tr|A0A1B2J8M8|A0A1B2J8M8_PICPA,0,0,OTHER
tr|A0A1B2J8N1|A0A1B2J8N1_PICPA,0,0,OTHER
tr|A0A1B2J8N3|A0A1B2J8N3_PICPA,0,0,OTHER
tr|A0A1B2J8N6|A0A1B2J8N6_PICPA,0,0,OTHER
tr|A0A1B2J8N7|A0A1B2J8N7_PICPA,0,0,OTHER
tr|A0A1B2J8P3|A0A1B2J8P3_PICPA,0,0,OTHER
tr|A0A1B2J8P5|A0A1B2J8P5_PICPA,0,0,OTHER
tr|A0A1B2J8P9|A0A1B2J8P9_PICPA,0,0,OTHER
tr|A0A1B2J8Q6|A0A1B2J8Q6_PICPA,0,0,OTHER
tr|A0A1B2J8Q7|A0A1B2J8Q7_PICPA,0,0,OTHER
tr|A0A1B2J8R0|A0A1B2J8R0_PICPA,0,0,OTHER
tr|A0A1B2J8R1|A0A1B2J8R1_PICPA,0,0,OTHER
tr|A0A1B2J8R2|A0A1B2J8R2_PICPA,0,0,OTHER
tr|A0A1B2J8S3|A0A1B2J8S3_PICPA,0,0,OTHER
tr|A0A1B2J8S4|A0A1B2J8S4_PICPA,0,0,OTHER
tr|A0A1B2J8T1|A0A1B2J8T1_PICPA,0,0,OTHER
tr|A0A1B2J8T5|A0A1B2J8T5_PICPA,0,0,OTHER
tr|A0A1B2J8T6|A0A1B2J8T6_PICPA,0,0,OTHER
tr|A0A1B2J8T9|A0A1B2J8T9_PICPA,0,0,OTHER
tr|A0A1B2J8U6|A0A1B2J8U6_PICPA,0,0,OTHER
tr|A0A1B2J8V2|A0A1B2J8V2_PICPA,0,0,OTHER
tr|A0A1B2J8V5|A0A1B2J8V5_PICPA,0,0,OTHER
tr|A0A1B2J8V6|A0A1B2J8V6_PICPA,0,0,OTHER
tr|A0A1B2J8V8|A0A1B2J8V8_PICPA,0,0,OTHER
tr|A0A1B2J8W0|A0A1B2J8W0_PICPA,0,0,OTHER
tr|A0A1B2J8W3|A0A1B2J8W3_PICPA,0,0,OTHER
tr|A0A1B2J8X0|A0A1B2J8X0_PICPA,0,0,OTHER
tr|A0A1B2J8X2|A0A1B2J8X2_PICPA,0,0,OTHER
tr|A0A1B2J8X6|A0A1B2J8X6_PICPA,0,0,OTHER
tr|A0A1B2J8X7|A0A1B2J8X7_PICPA,0,0,OTHER
tr|A0A1B2J8X9|A0A1B2J8X9_PICPA,0,0,OTHER
tr|A0A1B2J8Y0|A0A1B2J8Y0_PICPA,0,0,OTHER
tr|A0A1B2J8Y3|A0A1B2J8Y3_PICPA,0,0,OTHER
tr|A0A1B2J8Y6|A0A1B2J8Y6_PICPA,0,0,OTHER
tr|A0A1B2J8Y7|A0A1B2J8Y7_PICPA,0,0,OTHER
tr|A0A1B2J8Z7|A0A1B2J8Z7_PICPA,0,0,OTHER
tr|A0A1B2J8Z9|A0A1B2J8Z9_PICPA,0,0,OTHER
tr|A0A1B2J904|A0A1B2J904_PICPA,0,0,OTHER
tr|A0A1B2J906|A0A1B2J906_PICPA,0,0,OTHER
tr|A0A1B2J920|A0A1B2J920_PICPA,0,0,OTHER
tr|A0A1B2J927|A0A1B2J927_PICPA,0,0,OTHER
tr|A0A1B2J934|A0A1B2J934_PICPA,0,0,OTHER
tr|A0A1B2J942|A0A1B2J942_PICPA,0,0,OTHER
tr|A0A1B2J946|A0A1B2J946_PICPA,0,0,OTHER
tr|A0A1B2J949|A0A1B2J949_PICPA,0,0,OTHER
tr|A0A1B2J950|A0A1B2J950_PICPA,0,0,OTHER
tr|A0A1B2J953|A0A1B2J953_PICPA,0,0,OTHER
tr|A0A1B2J955|A0A1B2J955_PICPA,0,0,OTHER
tr|A0A1B2J962|A0A1B2J962_PICPA,0,0,OTHER
tr|A0A1B2J966|A0A1B2J966_PICPA,0,0,OTHER
tr|A0A1B2J967|A0A1B2J967_PICPA,0,0,OTHER
tr|A0A1B2J968|A0A1B2J968_PICPA,0,0,OTHER
tr|A0A1B2J969|A0A1B2J969_PICPA,0,0,OTHER
tr|A0A1B2J970|A0A1B2J970_PICPA,0,0,OTHER
tr|A0A1B2J978|A0A1B2J978_PICPA,0,0,OTHER
tr|A0A1B2J984|A0A1B2J984_PICPA,0,0,OTHER
tr|A0A1B2J990|A0A1B2J990_PICPA,0,0,OTHER
tr|A0A1B2J992|A0A1B2J992_PICPA,0,0,OTHER
tr|A0A1B2J993|A0A1B2J993_PICPA,0,0,OTHER
tr|A0A1B2J994|A0A1B2J994_PICPA,0,0,OTHER
tr|A0A1B2J996|A0A1B2J996_PICPA,0,0,OTHER
tr|A0A1B2J997|A0A1B2J997_PICPA,0,0,OTHER
tr|A0A1B2J999|A0A1B2J999_PICPA,0,0,OTHER
tr|A0A1B2J9A1|A0A1B2J9A1_PICPA,0,0,OTHER
tr|A0A1B2J9A2|A0A1B2J9A2_PICPA,0,0,OTHER
tr|A0A1B2J9A3|A0A1B2J9A3_PICPA,0,0,OTHER
tr|A0A1B2J9A4|A0A1B2J9A4_PICPA,0,0,OTHER
tr|A0A1B2J9A6|A0A1B2J9A6_PICPA,0,0,OTHER
tr|A0A1B2J9B0|A0A1B2J9B0_PICPA,0,0,OTHER
tr|A0A1B2J9B1|A0A1B2J9B1_PICPA,0,0,OTHER
tr|A0A1B2J9B8|A0A1B2J9B8_PICPA,0,0,OTHER
tr|A0A1B2J9B9|A0A1B2J9B9_PICPA,0,0,OTHER
tr|A0A1B2J9C3|A0A1B2J9C3_PICPA,0,0,OTHER
tr|A0A1B2J9D0|A0A1B2J9D0_PICPA,0,0,OTHER
tr|A0A1B2J9D3|A0A1B2J9D3_PICPA,0,0,OTHER
tr|A0A1B2J9E2|A0A1B2J9E2_PICPA,0,0,OTHER
tr|A0A1B2J9E9|A0A1B2J9E9_PICPA,0,0,OTHER
tr|A0A1B2J9F1|A0A1B2J9F1_PICPA,0,0,OTHER
tr|A0A1B2J9F5|A0A1B2J9F5_PICPA,0,0,OTHER
tr|A0A1B2J9G0|A0A1B2J9G0_PICPA,0,0,OTHER
tr|A0A1B2J9G1|A0A1B2J9G1_PICPA,0,0,OTHER
tr|A0A1B2J9H2|A0A1B2J9H2_PICPA,0,0,OTHER
tr|A0A1B2J9H4|A0A1B2J9H4_PICPA,0,0,OTHER
tr|A0A1B2J9H6|A0A1B2J9H6_PICPA,0,0,OTHER
tr|A0A1B2J9I0|A0A1B2J9I0_PICPA,0,0,OTHER
tr|A0A1B2J9I3|A0A1B2J9I3_PICPA,0,0,OTHER
tr|A0A1B2J9I4|A0A1B2J9I4_PICPA,0,0,OTHER
tr|A0A1B2J9I8|A0A1B2J9I8_PICPA,0,0,OTHER
tr|A0A1B2J9J1|A0A1B2J9J1_PICPA,0,0,OTHER
tr|A0A1B2J9J3|A0A1B2J9J3_PICPA,0,0,OTHER
tr|A0A1B2J9J9|A0A1B2J9J9_PICPA,0,0,OTHER
tr|A0A1B2J9K2|A0A1B2J9K2_PICPA,0,0,OTHER
tr|A0A1B2J9K7|A0A1B2J9K7_PICPA,0,0,OTHER
tr|A0A1B2J9L2|A0A1B2J9L2_PICPA,0,0,OTHER
tr|A0A1B2J9L3|A0A1B2J9L3_PICPA,0,0,OTHER
tr|A0A1B2J9L4|A0A1B2J9L4_PICPA,0,0,OTHER
tr|A0A1B2J9M0|A0A1B2J9M0_PICPA,0,0,OTHER
tr|A0A1B2J9N3|A0A1B2J9N3_PICPA,0,0,OTHER
tr|A0A1B2J9N5|A0A1B2J9N5_PICPA,0,0,OTHER
tr|A0A1B2J9N7|A0A1B2J9N7_PICPA,0,0,OTHER
tr|A0A1B2J9N9|A0A1B2J9N9_PICPA,0,0,OTHER
tr|A0A1B2J9P0|A0A1B2J9P0_PICPA,0,0,OTHER
tr|A0A1B2J9P1|A0A1B2J9P1_PICPA,0,0,OTHER
tr|A0A1B2J9P2|A0A1B2J9P2_PICPA,0,0,OTHER
tr|A0A1B2J9P5|A0A1B2J9P5_PICPA,0,0,OTHER
tr|A0A1B2J9P8|A0A1B2J9P8_PICPA,0,0,OTHER
tr|A0A1B2J9P9|A0A1B2J9P9_PICPA,0,0,OTHER
tr|A0A1B2J9Q5|A0A1B2J9Q5_PICPA,0,0,OTHER
tr|A0A1B2J9R2|A0A1B2J9R2_PICPA,0,0,OTHER
tr|A0A1B2J9R4|A0A1B2J9R4_PICPA,0,0,OTHER
tr|A0A1B2J9R9|A0A1B2J9R9_PICPA,0,0,OTHER
tr|A0A1B2J9S4|A0A1B2J9S4_PICPA,0,0,OTHER
tr|A0A1B2J9T0|A0A1B2J9T0_PICPA,0,0,OTHER
tr|A0A1B2J9T3|A0A1B2J9T3_PICPA,0,0,OTHER
tr|A0A1B2J9T7|A0A1B2J9T7_PICPA,0,0,OTHER
tr|A0A1B2J9U7|A0A1B2J9U7_PICPA,0,0,OTHER
tr|A0A1B2J9U9|A0A1B2J9U9_PICPA,0,0,OTHER
tr|A0A1B2J9V2|A0A1B2J9V2_PICPA,0,0,OTHER
tr|A0A1B2J9V3|A0A1B2J9V3_PICPA,0,0,OTHER
tr|A0A1B2J9V9|A0A1B2J9V9_PICPA,0,0,OTHER
tr|A0A1B2J9W0|A0A1B2J9W0_PICPA,0,0,OTHER
tr|A0A1B2J9W3|A0A1B2J9W3_PICPA,0,0,OTHER
tr|A0A1B2J9W4|A0A1B2J9W4_PICPA,0,0,OTHER
tr|A0A1B2J9W5|A0A1B2J9W5_PICPA,0,0,OTHER
tr|A0A1B2J9W6|A0A1B2J9W6_PICPA,0,0,OTHER
tr|A0A1B2J9W9|A0A1B2J9W9_PICPA,0,0,OTHER
tr|A0A1B2J9X9|A0A1B2J9X9_PICPA,0,0,OTHER
tr|A0A1B2J9Y1|A0A1B2J9Y1_PICPA,0,0,OTHER
tr|A0A1B2J9Y5|A0A1B2J9Y5_PICPA,0,0,OTHER
tr|A0A1B2J9Y6|A0A1B2J9Y6_PICPA,0,0,OTHER
tr|A0A1B2J9Z2|A0A1B2J9Z2_PICPA,0,0,OTHER
tr|A0A1B2J9Z3|A0A1B2J9Z3_PICPA,0,0,OTHER
tr|A0A1B2J9Z4|A0A1B2J9Z4_PICPA,0,0,OTHER
tr|A0A1B2J9Z6|A0A1B2J9Z6_PICPA,0,0,OTHER
tr|A0A1B2J9Z8|A0A1B2J9Z8_PICPA,0,0,OTHER
tr|A0A1B2J9Z9|A0A1B2J9Z9_PICPA,0,0,OTHER
tr|A0A1B2JA01|A0A1B2JA01_PICPA,0,0,OTHER
tr|A0A1B2JA04|A0A1B2JA04_PICPA,0,0,OTHER
tr|A0A1B2JA05|A0A1B2JA05_PICPA,0,0,OTHER
tr|A0A1B2JA14|A0A1B2JA14_PICPA,0,0,OTHER
tr|A0A1B2JA16|A0A1B2JA16_PICPA,0,0,OTHER
tr|A0A1B2JA21|A0A1B2JA21_PICPA,0,0,OTHER
tr|A0A1B2JA23|A0A1B2JA23_PICPA,0,0,OTHER
tr|A0A1B2JA30|A0A1B2JA30_PICPA,0,0,OTHER
tr|A0A1B2JA33|A0A1B2JA33_PICPA,0,0,OTHER
tr|A0A1B2JA37|A0A1B2JA37_PICPA,0,0,OTHER
tr|A0A1B2JA39|A0A1B2JA39_PICPA,0,0,OTHER
tr|A0A1B2JA43|A0A1B2JA43_PICPA,0,0,OTHER
tr|A0A1B2JA45|A0A1B2JA45_PICPA,0,0,OTHER
tr|A0A1B2JA47|A0A1B2JA47_PICPA,0,0,OTHER
tr|A0A1B2JA50|A0A1B2JA50_PICPA,0,0,OTHER
tr|A0A1B2JA58|A0A1B2JA58_PICPA,0,0,OTHER
tr|A0A1B2JA62|A0A1B2JA62_PICPA,0,0,OTHER
tr|A0A1B2JA64|A0A1B2JA64_PICPA,0,0,OTHER
tr|A0A1B2JA67|A0A1B2JA67_PICPA,0,0,OTHER
tr|A0A1B2JA68|A0A1B2JA68_PICPA,0,0,OTHER
tr|A0A1B2JA70|A0A1B2JA70_PICPA,0,0,OTHER
tr|A0A1B2JA71|A0A1B2JA71_PICPA,0,0,OTHER
tr|A0A1B2JA74|A0A1B2JA74_PICPA,0,0,OTHER
tr|A0A1B2JA75|A0A1B2JA75_PICPA,0,0,OTHER
tr|A0A1B2JA79|A0A1B2JA79_PICPA,0,0,OTHER
tr|A0A1B2JA81|A0A1B2JA81_PICPA,0,0,OTHER
tr|A0A1B2JA86|A0A1B2JA86_PICPA,0,0,OTHER
tr|A0A1B2JA94|A0A1B2JA94_PICPA,0,0,OTHER
tr|A0A1B2JA95|A0A1B2JA95_PICPA,0,0,OTHER
tr|A0A1B2JA99|A0A1B2JA99_PICPA,0,0,OTHER
tr|A0A1B2JAA0|A0A1B2JAA0_PICPA,0,0,OTHER
tr|A0A1B2JAA5|A0A1B2JAA5_PICPA,0,0,OTHER
tr|A0A1B2JAB3|A0A1B2JAB3_PICPA,0,0,OTHER
tr|A0A1B2JAB4|A0A1B2JAB4_PICPA,0,0,OTHER
